run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 4; 15; 8; 4096; 3.51040; 0.00313; 0.00020; 0.05892;  0.38294; 0.00406;  0.00406; 0.00002 ;  63029.973418 ; 9.386700 ;
 0; 15; 8; 8192; 7.77022; 0.00301; 0.00020; 0.05893;  0.91072; 0.00805;  0.00805; 0.00003 ;  62605.928975 ; 21.630879 ;
 1; 15; 8; 8192; 7.77208; 0.00299; 0.00020; 0.05948;  0.91005; 0.00812;  0.00812; 0.00012 ;  63231.431375 ; 21.624424 ;
 2; 15; 8; 8192; 7.77186; 0.00322; 0.00021; 0.05953;  0.91318; 0.00812;  0.00812; 0.00004 ;  62620.341096 ; 21.671387 ;
 3; 15; 8; 8192; 7.77077; 0.00331; 0.00021; 0.05962;  0.91407; 0.00814;  0.00814; 0.00003 ;  62832.758134 ; 21.684225 ;
 4; 15; 8; 8192; 7.77069; 0.00304; 0.00020; 0.05949;  0.91641; 0.00820;  0.00820; 0.00007 ;  62030.153043 ; 21.720099 ;
 0; 15; 12; 1024; 1.33182; 0.56189; 0.00058; 0.18821;  1.28227; 0.00337;  0.00337; 0.00018 ;  11426.843875 ; 21.371562 ;
 1; 15; 12; 1024; 1.17346; 0.00890; 0.00056; 0.18791;  1.27974; 0.00336;  0.00336; 0.00006 ;  11278.962317 ; 20.621442 ;
 2; 15; 12; 1024; 1.17315; 0.01054; 0.00056; 0.18901;  1.28550; 0.00336;  0.00336; 0.00006 ;  11530.262895 ; 20.710199 ;
 3; 15; 12; 1024; 1.17244; 0.00874; 0.00056; 0.19067;  1.27926; 0.00336;  0.00336; 0.00006 ;  11251.397522 ; 20.616041 ;
 4; 15; 12; 1024; 1.17250; 0.00905; 0.00056; 0.18807;  1.28264; 0.00336;  0.00336; 0.00004 ;  11368.955142 ; 20.664604 ;
